fold,macro_f1,micro_f1,precisao_0.0,recall_0.0,f1_0.0,precisao_1.0,recall_1.0,f1_1.0
0,0.9824205544286679,0.9903846153846154,0.9923518164435946,0.9961612284069098,0.9942528735632183,0.9801980198019802,0.9611650485436893,0.9705882352941176
1,0.9735262922195772,0.9855769230769231,0.9885496183206107,0.9942418426103646,0.9913875598086125,0.97,0.941747572815534,0.9556650246305419
2,0.9713735205064684,0.9839743589743589,0.9922779922779923,0.9884615384615385,0.9903660886319846,0.9433962264150944,0.9615384615384616,0.9523809523809523
3,0.9704674100297219,0.9839743589743589,0.9847908745247148,0.9961538461538462,0.9904397705544933,0.9795918367346939,0.9230769230769231,0.9504950495049505
4,0.982824112303881,0.9903846153846154,0.9961389961389961,0.9923076923076923,0.9942196531791907,0.9622641509433962,0.9807692307692307,0.9714285714285714
5,0.979571124570306,0.9887820512820513,0.9904397705544933,0.9961538461538462,0.9932885906040269,0.9801980198019802,0.9519230769230769,0.9658536585365853
6,0.9617601998727225,0.9791666666666666,0.9828571428571429,0.9923076923076923,0.9875598086124402,0.9595959595959596,0.9134615384615384,0.9359605911330049
7,0.95990990990991,0.9775280898876404,0.9903100775193798,0.9826923076923076,0.9864864864864865,0.9158878504672897,0.9514563106796117,0.9333333333333333
8,0.9709204630321135,0.9839486356340289,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.9514563106796117,0.9514563106796117,0.9514563106796117
9,0.9765533852696549,0.9871589085072231,0.9904214559386973,0.9942307692307693,0.9923224568138196,0.9702970297029703,0.9514563106796117,0.9607843137254902
